"Notes"	"Region"	"Region Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Census Region 1: Northeast"	"CENS-R1"	"Nov 26, 1988"	"1988/11/26"	40.17	25.88	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Nov 27, 1988"	"1988/11/27"	41.64	31.80	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Nov 28, 1988"	"1988/11/28"	45.81	37.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Nov 29, 1988"	"1988/11/29"	37.57	25.05	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Nov 30, 1988"	"1988/11/30"	35.76	24.82	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 01, 1988"	"1988/12/01"	39.15	29.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 02, 1988"	"1988/12/02"	29.85	25.83	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 03, 1988"	"1988/12/03"	37.38	28.09	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 04, 1988"	"1988/12/04"	32.89	16.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 05, 1988"	"1988/12/05"	18.30	13.04	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 06, 1988"	"1988/12/06"	28.70	13.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 07, 1988"	"1988/12/07"	39.44	27.16	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 08, 1988"	"1988/12/08"	29.92	18.78	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 09, 1988"	"1988/12/09"	19.87	16.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 10, 1988"	"1988/12/10"	19.30	7.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 11, 1988"	"1988/12/11"	7.20	-0.93	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 12, 1988"	"1988/12/12"	7.44	-1.89	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 13, 1988"	"1988/12/13"	24.71	2.15	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 14, 1988"	"1988/12/14"	30.08	24.15	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 15, 1988"	"1988/12/15"	32.52	15.66	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 16, 1988"	"1988/12/16"	15.66	-0.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 17, 1988"	"1988/12/17"	9.01	-2.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 18, 1988"	"1988/12/18"	12.99	4.31	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 19, 1988"	"1988/12/19"	21.90	6.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 20, 1988"	"1988/12/20"	35.92	18.61	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 21, 1988"	"1988/12/21"	42.64	25.57	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 22, 1988"	"1988/12/22"	25.57	10.43	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 23, 1988"	"1988/12/23"	25.25	8.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 24, 1988"	"1988/12/24"	34.23	23.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 25, 1988"	"1988/12/25"	34.33	27.46	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 26, 1988"	"1988/12/26"	27.46	12.24	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 27, 1988"	"1988/12/27"	24.68	10.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 28, 1988"	"1988/12/28"	34.73	24.66	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 29, 1988"	"1988/12/29"	29.04	5.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 30, 1988"	"1988/12/30"	15.95	4.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Dec 31, 1988"	"1988/12/31"	22.85	12.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 01, 1989"	"1989/01/01"	11.33	1.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 02, 1989"	"1989/01/02"	24.82	10.87	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 03, 1989"	"1989/01/03"	23.40	4.70	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 04, 1989"	"1989/01/04"	5.24	-7.37	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 05, 1989"	"1989/01/05"	4.87	-4.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 06, 1989"	"1989/01/06"	9.98	-4.32	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 07, 1989"	"1989/01/07"	19.92	0.96	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 08, 1989"	"1989/01/08"	34.31	19.83	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 09, 1989"	"1989/01/09"	29.31	11.86	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 10, 1989"	"1989/01/10"	21.14	7.85	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 11, 1989"	"1989/01/11"	23.94	2.72	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 12, 1989"	"1989/01/12"	30.98	2.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 13, 1989"	"1989/01/13"	30.81	7.32	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 14, 1989"	"1989/01/14"	26.34	6.34	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 15, 1989"	"1989/01/15"	35.36	21.53	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 16, 1989"	"1989/01/16"	29.52	20.52	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 17, 1989"	"1989/01/17"	27.57	15.50	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 18, 1989"	"1989/01/18"	30.45	24.45	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 19, 1989"	"1989/01/19"	31.46	26.16	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 20, 1989"	"1989/01/20"	34.24	25.83	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 21, 1989"	"1989/01/21"	26.99	-3.74	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 22, 1989"	"1989/01/22"	22.44	-3.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 23, 1989"	"1989/01/23"	31.30	19.89	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 24, 1989"	"1989/01/24"	32.72	18.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 25, 1989"	"1989/01/25"	20.22	2.64	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 26, 1989"	"1989/01/26"	30.47	2.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 27, 1989"	"1989/01/27"	25.55	13.26	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 28, 1989"	"1989/01/28"	26.90	9.57	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 29, 1989"	"1989/01/29"	32.51	23.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 30, 1989"	"1989/01/30"	34.54	24.34	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 31, 1989"	"1989/01/31"	33.41	24.39	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 01, 1989"	"1989/02/01"	39.45	21.52	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 02, 1989"	"1989/02/02"	21.73	8.83	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 03, 1989"	"1989/02/03"	19.00	8.42	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 04, 1989"	"1989/02/04"	9.89	-2.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 05, 1989"	"1989/02/05"	12.57	-3.74	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 06, 1989"	"1989/02/06"	20.94	7.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 07, 1989"	"1989/02/07"	22.22	15.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 08, 1989"	"1989/02/08"	24.06	16.86	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 09, 1989"	"1989/02/09"	19.42	-1.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 10, 1989"	"1989/02/10"	16.67	-2.32	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 11, 1989"	"1989/02/11"	24.15	11.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 12, 1989"	"1989/02/12"	26.18	17.31	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 13, 1989"	"1989/02/13"	24.90	11.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 14, 1989"	"1989/02/14"	34.83	23.59	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 15, 1989"	"1989/02/15"	33.69	27.36	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 16, 1989"	"1989/02/16"	28.25	-0.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 17, 1989"	"1989/02/17"	4.36	-5.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 18, 1989"	"1989/02/18"	7.26	-4.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 19, 1989"	"1989/02/19"	18.12	0.44	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 20, 1989"	"1989/02/20"	29.81	16.12	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 21, 1989"	"1989/02/21"	36.64	25.98	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 22, 1989"	"1989/02/22"	36.67	27.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 23, 1989"	"1989/02/23"	27.79	7.27	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 24, 1989"	"1989/02/24"	15.85	2.09	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 25, 1989"	"1989/02/25"	18.26	7.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 26, 1989"	"1989/02/26"	20.86	8.68	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 27, 1989"	"1989/02/27"	24.55	14.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Feb 28, 1989"	"1989/02/28"	28.05	14.07	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 01, 1989"	"1989/03/01"	29.28	20.39	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 02, 1989"	"1989/03/02"	22.14	12.15	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 03, 1989"	"1989/03/03"	13.76	4.80	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 04, 1989"	"1989/03/04"	18.11	2.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 05, 1989"	"1989/03/05"	31.21	15.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 06, 1989"	"1989/03/06"	20.89	-4.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 07, 1989"	"1989/03/07"	7.97	-11.42	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 08, 1989"	"1989/03/08"	19.00	-5.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 09, 1989"	"1989/03/09"	26.85	6.39	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 10, 1989"	"1989/03/10"	28.84	12.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 11, 1989"	"1989/03/11"	32.71	15.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 12, 1989"	"1989/03/12"	27.66	11.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 13, 1989"	"1989/03/13"	24.47	6.69	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 14, 1989"	"1989/03/14"	35.38	20.53	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 15, 1989"	"1989/03/15"	43.27	30.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 16, 1989"	"1989/03/16"	36.66	24.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 17, 1989"	"1989/03/17"	32.98	24.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 18, 1989"	"1989/03/18"	30.61	18.88	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 19, 1989"	"1989/03/19"	23.02	13.22	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 20, 1989"	"1989/03/20"	28.65	15.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 21, 1989"	"1989/03/21"	33.90	22.99	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 22, 1989"	"1989/03/22"	23.17	16.78	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 23, 1989"	"1989/03/23"	32.24	16.43	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 24, 1989"	"1989/03/24"	35.62	22.88	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 25, 1989"	"1989/03/25"	34.64	28.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 26, 1989"	"1989/03/26"	42.05	31.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 27, 1989"	"1989/03/27"	46.29	30.80	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 28, 1989"	"1989/03/28"	62.48	39.31	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 29, 1989"	"1989/03/29"	50.83	25.41	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 30, 1989"	"1989/03/30"	34.66	24.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Mar 31, 1989"	"1989/03/31"	32.11	27.78	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 01, 1989"	"1989/04/01"	33.40	27.96	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 02, 1989"	"1989/04/02"	39.52	28.38	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 03, 1989"	"1989/04/03"	45.27	29.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 04, 1989"	"1989/04/04"	48.56	34.27	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 05, 1989"	"1989/04/05"	55.13	38.82	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 06, 1989"	"1989/04/06"	50.99	42.94	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 07, 1989"	"1989/04/07"	46.09	33.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 08, 1989"	"1989/04/08"	37.38	29.69	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 09, 1989"	"1989/04/09"	41.46	28.59	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 10, 1989"	"1989/04/10"	42.01	29.76	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 11, 1989"	"1989/04/11"	38.39	27.90	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 12, 1989"	"1989/04/12"	40.05	30.06	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 13, 1989"	"1989/04/13"	46.86	30.70	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 14, 1989"	"1989/04/14"	43.59	30.08	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 15, 1989"	"1989/04/15"	46.22	32.50	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 16, 1989"	"1989/04/16"	42.53	35.55	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 17, 1989"	"1989/04/17"	53.77	33.37	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 18, 1989"	"1989/04/18"	47.47	37.41	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 19, 1989"	"1989/04/19"	44.05	33.84	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 20, 1989"	"1989/04/20"	44.55	31.48	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 21, 1989"	"1989/04/21"	45.40	31.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 22, 1989"	"1989/04/22"	35.65	24.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 23, 1989"	"1989/04/23"	38.95	24.29	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 24, 1989"	"1989/04/24"	38.48	28.01	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 25, 1989"	"1989/04/25"	41.26	29.87	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 26, 1989"	"1989/04/26"	49.94	29.16	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 27, 1989"	"1989/04/27"	45.44	35.81	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 28, 1989"	"1989/04/28"	44.47	34.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 29, 1989"	"1989/04/29"	55.80	33.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Apr 30, 1989"	"1989/04/30"	53.91	40.19	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 01, 1989"	"1989/05/01"	65.14	39.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 02, 1989"	"1989/05/02"	50.73	43.95	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 03, 1989"	"1989/05/03"	51.39	40.86	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 04, 1989"	"1989/05/04"	55.33	36.93	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 05, 1989"	"1989/05/05"	63.70	42.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 06, 1989"	"1989/05/06"	54.85	43.35	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 07, 1989"	"1989/05/07"	63.68	43.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 08, 1989"	"1989/05/08"	54.34	38.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 09, 1989"	"1989/05/09"	55.16	36.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 10, 1989"	"1989/05/10"	56.06	44.20	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 11, 1989"	"1989/05/11"	55.52	44.55	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 12, 1989"	"1989/05/12"	58.84	51.33	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 13, 1989"	"1989/05/13"	57.93	46.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 14, 1989"	"1989/05/14"	55.63	46.02	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 15, 1989"	"1989/05/15"	67.00	45.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 16, 1989"	"1989/05/16"	69.40	51.23	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 17, 1989"	"1989/05/17"	73.32	52.24	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 18, 1989"	"1989/05/18"	76.60	53.96	79.62
	"Census Region 1: Northeast"	"CENS-R1"	"May 19, 1989"	"1989/05/19"	71.55	49.76	80.49
	"Census Region 1: Northeast"	"CENS-R1"	"May 20, 1989"	"1989/05/20"	76.43	49.04	81.30
	"Census Region 1: Northeast"	"CENS-R1"	"May 21, 1989"	"1989/05/21"	75.40	54.26	80.38
	"Census Region 1: Northeast"	"CENS-R1"	"May 22, 1989"	"1989/05/22"	62.04	49.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 23, 1989"	"1989/05/23"	66.50	48.08	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 24, 1989"	"1989/05/24"	60.02	50.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 25, 1989"	"1989/05/25"	64.77	50.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 26, 1989"	"1989/05/26"	71.55	52.12	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 27, 1989"	"1989/05/27"	71.89	50.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 28, 1989"	"1989/05/28"	53.74	43.55	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 29, 1989"	"1989/05/29"	67.50	40.98	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 30, 1989"	"1989/05/30"	65.17	50.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"May 31, 1989"	"1989/05/31"	62.90	53.16	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 01, 1989"	"1989/06/01"	67.57	54.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 02, 1989"	"1989/06/02"	69.58	55.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 03, 1989"	"1989/06/03"	71.32	54.66	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 04, 1989"	"1989/06/04"	70.02	53.28	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 05, 1989"	"1989/06/05"	67.13	49.95	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 06, 1989"	"1989/06/06"	58.99	51.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 07, 1989"	"1989/06/07"	71.50	49.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 08, 1989"	"1989/06/08"	63.72	53.87	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 09, 1989"	"1989/06/09"	61.23	50.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 10, 1989"	"1989/06/10"	52.47	46.46	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 11, 1989"	"1989/06/11"	57.83	45.14	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 12, 1989"	"1989/06/12"	60.87	43.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 13, 1989"	"1989/06/13"	62.34	43.89	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 14, 1989"	"1989/06/14"	66.19	47.79	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 15, 1989"	"1989/06/15"	59.37	48.58	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 16, 1989"	"1989/06/16"	56.99	48.86	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 17, 1989"	"1989/06/17"	70.05	51.34	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 18, 1989"	"1989/06/18"	70.22	55.62	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 19, 1989"	"1989/06/19"	70.28	53.10	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 20, 1989"	"1989/06/20"	75.73	56.33	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 21, 1989"	"1989/06/21"	79.11	62.21	82.78
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 22, 1989"	"1989/06/22"	81.37	64.31	83.14
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 23, 1989"	"1989/06/23"	79.57	59.70	83.06
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 24, 1989"	"1989/06/24"	70.51	54.32	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 25, 1989"	"1989/06/25"	73.87	55.67	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 26, 1989"	"1989/06/26"	79.06	61.21	82.80
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 27, 1989"	"1989/06/27"	81.29	63.62	85.89
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 28, 1989"	"1989/06/28"	75.69	58.64	83.50
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 29, 1989"	"1989/06/29"	64.07	50.57	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jun 30, 1989"	"1989/06/30"	66.48	47.30	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 01, 1989"	"1989/07/01"	68.44	49.76	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 02, 1989"	"1989/07/02"	72.74	53.30	83.42
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 03, 1989"	"1989/07/03"	70.34	51.40	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 04, 1989"	"1989/07/04"	74.85	53.05	82.58
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 05, 1989"	"1989/07/05"	77.59	59.93	84.35
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 06, 1989"	"1989/07/06"	77.85	61.77	84.53
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 07, 1989"	"1989/07/07"	79.46	58.42	87.30
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 08, 1989"	"1989/07/08"	69.57	55.07	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 09, 1989"	"1989/07/09"	71.92	55.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 10, 1989"	"1989/07/10"	66.32	55.77	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 11, 1989"	"1989/07/11"	68.13	54.47	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 12, 1989"	"1989/07/12"	73.10	51.65	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 13, 1989"	"1989/07/13"	74.20	54.08	80.50
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 14, 1989"	"1989/07/14"	71.17	57.41	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 15, 1989"	"1989/07/15"	70.12	54.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 16, 1989"	"1989/07/16"	72.30	55.16	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 17, 1989"	"1989/07/17"	69.38	55.09	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 18, 1989"	"1989/07/18"	74.69	53.11	79.90
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 19, 1989"	"1989/07/19"	74.74	58.41	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 20, 1989"	"1989/07/20"	72.28	57.71	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 21, 1989"	"1989/07/21"	73.86	55.00	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 22, 1989"	"1989/07/22"	75.73	56.00	81.27
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 23, 1989"	"1989/07/23"	76.18	57.67	82.41
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 24, 1989"	"1989/07/24"	79.72	57.65	83.00
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 25, 1989"	"1989/07/25"	83.53	63.67	88.10
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 26, 1989"	"1989/07/26"	83.71	68.87	87.74
	"Census Region 1: Northeast"	"CENS-R1"	"Jul 27, 1989"	"1989/07/27"	83.12	68.01	88.52
